Fecha,Pasos,Distancia(km),Velocidad min(m/s),Velocidad max(m/s),Promedio velocidad (m/s),Distancia del paso min (cm),Distancia del paso max (cm),Distancia del paso promedio(cm)
1/07/2021,1466,"0,94","0,9","1,4","1,15",49,76,"62,5"
2/07/2021,2886,"1,9","0,85","1,9","1,375",59,99,79
3/07/2021,3503,"2,3","1,1",2,"1,55",57,100,"78,5"
4/07/2021,1208,"0,78","0,64","1,6","1,12",49,82,"65,5"
5/07/2021,1936,"1,2","0,82","1,8","1,31",48,88,68
6/07/2021,823,"0,54","1,3","1,5","1,4",58,63,"60,5"
7/07/2021,5418,"3,4","0,73","1,7","1,215",58,82,70
8/07/2021,1066,"0,7","1,1","1,4","1,25",55,82,"68,5"
9/07/2021,3982,"2,6","0,76","1,8","1,28",44,97,"70,5"
10/07/2021,649,"0,42","0,99","1,6","1,295",62,83,"72,5"
11/07/2021,1108,"0,74","0,83","1,3","1,065",52,70,61
12/07/2021,2693,"1,7","1,2","1,8","1,5",60,85,"72,5"
13/07/2021,944,"0,63","1,1","1,6","1,35",58,82,70
14/07/2021,954,"0,62","1,2","1,4","1,3",59,77,68
15/07/2021,3688,"2,2","0,91","1,3","1,105",51,92,"71,5"
16/07/2021,3657,2,"1,1","1,6","1,35",59,81,70
17/07/2021,1876,"1,2","1,2","1,4","1,3",68,77,"72,5"
18/07/2021,2322,"1,5","0,89","1,6","1,245",53,80,"66,5"
19/07/2021,4400,3,"0,79","1,5","1,145",48,83,"65,5"
20/07/2021,1345,"0,9","0,75","1,4","1,075",52,90,71
21/07/2021,2250,"1,5",1,"1,8","1,4",57,89,73
22/07/2021,2077,"1,4","0,75",2,"1,375",53,101,77
23/07/2021,3358,"2,2","0,89","1,7","1,295",54,83,"68,5"
24/07/2021,3548,"2,5","0,88","1,5","1,19",55,84,"69,5"
25/07/2021,6692,5,"0,8","1,5","1,15",49,82,"65,5"
26/07/2021,4171,"2,9","0,67","1,5","1,085",49,89,69
27/07/2021,6067,"4,4","0,92","1,9","1,41",59,93,76
28/07/2021,3670,"2,4","0,91","1,6","1,255",56,81,"68,5"
29/07/2021,1695,"1,1","1,2","1,6","1,4",61,86,"73,5"
30/07/2021,2261,"1,4","0,9","1,7","1,3",50,91,"70,5"
31/07/2021,2792,"1,7","0,96","1,6","1,28",55,93,74
1/08/2021,4238,"2,7","0,69","1,7","1,195",46,87,"66,5"
2/08/2021,1003,"0,67","1,2","1,2","1,2",57,65,61
3/08/2021,2011,"1,3","0,91","1,4","1,155",50,66,58
4/08/2021,5773,"3,7","0,57","1,7","1,135",37,86,"61,5"
5/08/2021,1367,"0,89","0,77","1,5","1,135",44,70,57
6/08/2021,3369,"2,2","0,95",2,"1,475",58,95,"76,5"
7/08/2021,7388,"4,8","0,71","1,8","1,255",47,89,68
8/08/2021,5500,"3,2","0,75",2,"1,375",44,83,"63,5"
9/08/2021,8341,"4,6","0,56","1,7","1,13",38,82,60
10/08/2021,3849,"2,2","1,1","1,7","1,4",61,84,"72,5"
11/08/2021,1247,"0,85","0,62","1,5","1,06",38,77,"57,5"
12/08/2021,2375,"1,4","1,1","1,7","1,4",62,88,75
13/08/2021,11788,"7,6","0,95","1,8","1,375",61,90,"75,5"
14/08/2021,9727,"6,2","0,66","1,6","1,13",45,83,64
15/08/2021,12888,"7,3","0,62","1,5","1,06",47,80,"63,5"
16/08/2021,15356,"8,5","0,72","1,7","1,21",47,83,65
17/08/2021,7557,"4,7","0,79","1,7","1,245",53,87,70
18/08/2021,9906,"6,3","0,62","1,7","1,16",42,87,"64,5"
19/08/2021,20412,"13,1","0,66","1,8","1,23",45,90,"67,5"
20/08/2021,14987,"9,4","0,8","1,5","1,15",48,79,"63,5"
21/08/2021,6897,"4,4","0,79","1,6","1,195",48,78,63
22/08/2021,19099,"13,2","0,75","1,9","1,325",44,89,"66,5"
23/08/2021,3263,"2,1","0,65","1,6","1,125",49,81,65
24/08/2021,9155,"5,7","0,87","1,6","1,235",55,83,69
25/08/2021,12448,"7,5","0,74","1,7","1,22",48,93,"70,5"
26/08/2021,783,"0,49","0,69","1,8","1,245",38,80,59
27/08/2021,8477,"5,3","0,72","1,8","1,26",46,91,"68,5"
28/08/2021,14115,"9,3","0,62","1,8","1,21",45,87,66
29/08/2021,1380,"0,9","0,93","1,7","1,315",59,88,"73,5"
30/08/2021,1976,"1,2","1,2","1,6","1,4",66,84,75
31/08/2021,17430,"11,9","0,69","1,9","1,295",44,94,69
1/09/2021,3259,"2,1","0,85","1,4","1,125",55,71,63
2/09/2021,11062,7,"0,64","1,7","1,17",50,89,"69,5"
3/09/2021,6493,"4,6","0,89","1,7","1,295",55,86,"70,5"
4/09/2021,3610,"2,4","0,82","1,3","1,06",52,76,64
5/09/2021,5278,"3,3","0,71","1,3","1,005",45,70,"57,5"
6/09/2021,3287,2,"0,64","1,1","0,87",44,66,55
7/09/2021,2712,"1,8","0,89","1,2","1,045",53,71,62
8/09/2021,8120,"5,4","0,72","1,5","1,11",52,84,68
